"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Proximidade_Costa(milhas)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora","onda","vento","chuva"
"139","06:15:00","Noturno","3.5205","2.559","Benin","Chemical Tanker","Singapura","Navegar","195","Águas Internacionais","NCONSEGUIDO","","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2020-11-07 00:00:00","2020-11-07 06:15:00","1.1000000238419","4.849609375","7.8813506491919E-6"
"140","01:00:00","Noturno","5.2","2.5833333333333","Benin","Oil Ship Transporter","IlhasMarshall","Navegar","70","Águas Internacionais","NCONSEGUIDO","8","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","2020-11-11 00:00:00","2020-11-11 01:00:00","1.0699999332428","2.41015625","1.2285634835505E-5"
"141","22:55:00","Noturno ","6.1","2.6166666666667","Benin","Oil Ship Transporter","Libéria","Fundeado","17","Águas Internacionais","NCONSEGUIDO","7","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2011-04-29 00:00:00","2011-04-29 22:55:00","1.63","3.830078125","0"
"142","21:20:00","Noturno ","6.1283333333333","2.62","Nigéria","Chemical Tanker","Itália","Fundeado","15","Águas Internacionais","HIJACK","15","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2010-12-24 00:00:00","2010-12-24 21:20:00","1.03","3.08984375","0"
"143","23:25:00","Noturno ","5.6333333333333","2.65","Benin","Chemical Tanker","Gibraltar","Navegar","51","Águas Internacionais","HIJACK","12","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-08-20 00:00:00","2011-08-20 23:25:00","1.74","5.9296875","0"
"144","06:30:00","Noturno","4.4383333333333","2.7","Benin","Outros","Países Baixos","Navegar","116","Águas Internacionais","NCONSEGUIDO","8","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","2020-11-09 00:00:00","2020-11-09 06:30:00","1","4.4404296875","2.433946524015E-6"
"145","10:00:00","Diurno","2.95","2.7666666666667","Nigéria","Oil Ship Transporter","Libéria","Navegar","196","Águas Internacionais","RAPTO","8","Machine Gun","0","1","1","1","13","0","0","0","0","0","0","0","0","0","0","1","0","2020-07-17 00:00:00","2020-07-17 10:00:00","2.3099999427795","4.900390625","0"
"146","20:45:00","Noturno ","4.6666666666667","2.8166666666667","Benin","Bulk Carrier","Grécia","Navegar","120","Águas Internacionais","ROUBO","9","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-10-30 00:00:00","2011-10-30 20:45:00","1.14","2.1396484375","0"
"147","22:37:00","Noturno ","4.1","2.85","Benin","Chemical Tanker","Chipre","Navegar","155","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","2011-10-02 00:00:00","2011-10-02 22:37:00","1.58","4.0400390625","0"
"148","19:35:00","Noturno ","6.1505","2.8893333333333","Nigéria","Oil Ship Transporter","Dinamarca","Navegar","34","Águas Internacionais","NCONSEGUIDO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","2012-09-09 00:00:00","2012-09-09 19:35:00","1.44","3.490234375","0"
