"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora"
"76","06:30:00","Noturno ","-4.75","11.761666666667","Congo","Cargo Ship","Libéria","Fundeado","","Mar Territorial","ROUBO","6","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-08-22 00:00:00","2011-08-22 06:30:00"
"77","23:52:00","Noturno ","5.5","1.741","Togo","Tanker","Noruega","Navegar","","Águas Internacionais","ROUBO","6","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-09-13 00:00:00","2011-09-13 23:52:00"
"78","04:15:00","Noturno ","6.0231666666667","1.305","Togo","Chemical Tanker","Singapura","Fundeado","","Mar Territorial","NCONSEGUIDO","26","","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2011-09-14 00:00:00","2011-09-14 04:15:00"
"79","03:55:00","Noturno ","6.0116666666667","1.3266666666667","Togo","Tanker","IlhasMarshall","Fundeado","","Mar Territorial","NCONSEGUIDO","6","","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2011-09-14 00:00:00","2011-09-14 03:55:00"
"80","03:40:00","Noturno ","6.0616666666667","1.2916666666667","Togo","Bulk Carrier","Libéria","Fundeado","","Mar Territorial","NCONSEGUIDO","7","","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2011-09-16 00:00:00","2011-09-16 03:40:00"
"81","05:30:00","Noturno ","6.0166666666667","1.25","Togo","Chemical Tanker","China","Fundeado","","Mar Territorial","NCONSEGUIDO","6","","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2011-09-22 00:00:00","2011-09-22 05:30:00"
"82","05:05:00","Noturno","9.4","-13.716666666667","Guiné","General Cargo","Ilha de Man","Fundeado","","Mar Territorial","ROUBO","12","Machine Gun/ Knives","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","1","0","2011-09-29 00:00:00","2011-09-29 05:05:00"
"83","22:37:00","Noturno ","4.1","2.85","Benin","Chemical Tanker","Chipre","Navegar","","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","2011-10-02 00:00:00","2011-10-02 22:37:00"
"84","03:30:00","Noturno","-4.7616666666667","11.828333333333","República Dem. Congo","Special Purpose Ship","IlhasMarshall","Navegar","","Mar Territorial","ROUBO","","","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2011-10-04 00:00:00","2011-10-04 03:30:00"
"85","20:40:00","Noturno ","4.9166666666667","3.2666666666667","Nigéria","Tanker","IlhasMarshall","Navegar","","Águas Internacionais","HIJACK/ROUBO","6","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2011-10-08 00:00:00","2011-10-08 20:40:00"
